date,deaths,cases
20200414,25668,602473
20200413,23369,576774
20200412,21919,551826
20200411,20355,522843
20200410,18488,493252
20200409,16424,458635
20200408,14547,424289
20200407,12646,394156
20200406,10720,363719
20200405,9554,334967
20200404,8379,308993
20200403,7026,275457
20200402,5835,243403
20200401,4746,215329
20200331,3803,190078
20200330,2983,165597
20200329,2467,144377
20200328,2001,124884
20200327,1574,105484
20200326,1208,86811
20200325,931,69508
20200324,706,57224
20200323,509,47066
20200322,426,36391
20200321,297,27435
20200320,247,20908
20200319,185,15134
20200318,142,10939
20200317,119,8366
20200316,97,6182
20200315,76,4902
20200314,63,3846
20200313,55,3095
20200312,51,2221
20200311,43,1757
20200310,37,1365
20200309,35,1048
20200308,31,731
20200307,27,550
20200306,26,394
20200305,20,276
20200304,16,209
20200303,14,94
20200302,11,53
20200301,8,40
20200229,5,18
20200228,4,9
