iso3c,population,land_area_skm,pop_density,pop_largest_city,gdp_capita,life_expectancy,region,income
ABW,105366,180,585.366666666667,NA,24485.0832823881,76.01,Latin America & Caribbean ,High income
AFG,37172386,652860,56.937760009803,4011770,563.825662667794,64.486,South Asia,Low income
AGO,30809762,1246700,24.7130520574316,7774200,3229.61973975117,60.782,Sub-Saharan Africa ,Lower middle income
ALB,2866376,27400,104.612262773723,475577,5079.40111990631,78.458,Europe & Central Asia,Upper middle income
AND,77006,470,163.842553191489,NA,44569.7830090145,NA,Europe & Central Asia,High income
ARE,9630959,71020,135.609110109828,2785376,40782.4436240123,77.814,Middle East & North Africa,High income
ARG,44494502,2736690,16.2585100979651,14966530,10043.5085520823,76.52,Latin America & Caribbean ,Upper middle income
ARM,2951776,28470,103.680224798033,1080324,4406.70643395879,74.945,Europe & Central Asia,Upper middle income
ASM,55465,200,277.325,NA,9271.71200951825,NA,East Asia & Pacific,Upper middle income
ATG,96286,440,218.831818181818,NA,15134.8841569088,76.885,Latin America & Caribbean ,High income
AUS,24982688,7692020,3.24912948744283,4792281,56842.3055122125,82.7487804878049,East Asia & Pacific,High income
AUT,8840521,82522.998046875,107.206926667578,1900547,50019.8702125281,81.6439024390244,Europe & Central Asia,High income
AZE,9939800,82670,120.265319946776,2285729,5768.99240538437,72.864,Europe & Central Asia,Upper middle income
BDI,11175378,25680,435.178271028037,898968,210.804225834169,61.247,Sub-Saharan Africa ,Low income
BEL,11433256,30280,377.214927344782,2049510,47166.4843582889,81.5951219512195,Europe & Central Asia,High income
BEN,11485048,112760,101.853919829727,927545,897.198783313794,61.47,Sub-Saharan Africa ,Low income
BFA,19751535,273600,72.1912828947368,2531381,712.036087765552,61.174,Sub-Saharan Africa ,Low income
BGD,161356039,130170,1239.57931166936,19578421,1203.21626488899,72.32,South Asia,Lower middle income
BGR,7025037,108560,64.7035372144436,1272418,8651.09480143084,74.8658536585366,Europe & Central Asia,Upper middle income
BHR,1569439,778.000030517578,2017.27369979138,564631,21438.409900445102,77.163,Middle East & North Africa,High income
BHS,385640,10010,38.5254745254745,NA,27261.2144822129,73.752,Latin America & Caribbean ,High income
BIH,3323929,51200,64.92048828125,342577,6032.24619878815,77.262,Europe & Central Asia,Upper middle income
BLR,9483499,202988.0078125,46.7287999040892,2004672,6744.49866958786,74.1756097560976,Europe & Central Asia,Upper middle income
BLZ,383071,22810,16.7939938623411,NA,4248.99905543377,74.496,Latin America & Caribbean ,Upper middle income
BMU,65001,54.0000009536743,1203.72220096372,NA,79251.7816637313,80.5724390243902,North America,High income
BOL,11353142,1083300,10.4801458506416,1814087,2559.51131656583,71.239,Latin America & Caribbean ,Lower middle income
BRA,209469333,8358140,25.0617162430876,21650181,11026.2412096851,75.672,Latin America & Caribbean ,Upper middle income
BRB,286641,430,666.606976744186,NA,16018.0411266686,79.081,Latin America & Caribbean ,High income
BRN,428962,5270,81.396963946869107,NA,31436.8681969939,75.722,East Asia & Pacific,High income
BTN,754394,38143.9990234375,19.7775277714448,NA,3128.00090457946,71.46,South Asia,Lower middle income
BWA,2254126,566730,3.97742487604327,NA,8031.01380349216,69.275,Sub-Saharan Africa ,Upper middle income
CAF,4666377,622980,7.49041221227006,850946,378.995277100776,52.805,Sub-Saharan Africa ,Low income
CAN,37057765,9093510,4.07530821431988,6082425,51391.7084172258,81.9487804878049,North America,High income
CHE,8513227,39516.0009765625,215.521378417094,1370779,79214.3547914834,83.5512195121951,Europe & Central Asia,High income
CHL,18729160,743532.03125,25.1894460666519,6680371,15130.1543224458,80.042,Latin America & Caribbean ,High income
CHN,1392730000,9388210,148.348833270666,25582138,7752.5595253168,76.704,East Asia & Pacific,Upper middle income
CIV,25069229,318000,78.8340534591195,4920776,1692.54454993513,57.422,Sub-Saharan Africa ,Lower middle income
CMR,25216237,472710,53.3439889149796,3655656,1500.70389669986,58.921,Sub-Saharan Africa ,Lower middle income
COD,84068091,2267050,37.0825923557045,13171256,418.738623106015,60.368,Sub-Saharan Africa ,Low income
COG,5244363,341500,15.3568462664715,2229693,2651.70071944626,64.29,Sub-Saharan Africa ,Lower middle income
COL,49648685,1109500,44.7487021180712,10574409,7691.74556389965,77.109,Latin America & Caribbean ,Upper middle income
COM,832322,1861.00006103516,447.244477540227,NA,1401.37219852531,64.118,Sub-Saharan Africa ,Lower middle income
CPV,543767,4030,134.929776674938,NA,3759.55324881898,72.782,Sub-Saharan Africa ,Lower middle income
CRI,4999441,51060,97.9130630630631,1357745,9889.74351494095,80.095,Latin America & Caribbean ,Upper middle income
CUB,11338138,104020,108.999596231494,2136468,6816.89680904415,78.726,Latin America & Caribbean ,Upper middle income
CYM,63382,240,264.091666666667,NA,76285.3841205598,82.190243902439,Latin America & Caribbean ,High income
CYP,1189265,9240,128.708333333333,NA,31507.9869738845,80.828,Europe & Central Asia,High income
CZE,10629928,77220,137.602887852888,1291552,23358.8729537639,78.9780487804878,Europe & Central Asia,High income
DEU,82905782,349360,237.3709697733,3552123,47477.8381544914,80.9926829268293,Europe & Central Asia,High income
DJI,840198,23180,36.2466781708369,484925,1343.26872994437,60.062,Middle East & North Africa,Lower middle income
DMA,71625,750,95.5,NA,6694.34637135228,NA,Latin America & Caribbean ,Upper middle income
DNK,5793636,41990,138.067301738509,1320826,63873.4640136784,81.3512195121951,Europe & Central Asia,High income
DOM,10627165,48310,219.97857586421,3172152,7697.72362298411,73.892,Latin America & Caribbean ,Upper middle income
DZA,42228429,2381740,17.7300750711665,2693542,4764.37563637977,76.693,Middle East & North Africa,Upper middle income
ECU,17084357,248360,68.7886817522951,2898796,5185.09146085163,76.8,Latin America & Caribbean ,Upper middle income
EGY,98423595,995450,98.8734692852479,20076002,2907.31758471118,71.825,Middle East & North Africa,Lower middle income
ERI,3213972,101000,31.8215049504951,694486,715.87254227157,62.732,Sub-Saharan Africa ,Low income
ESP,46796540,499563.984375,93.5290582615872,6497124,32949.5819818571,83.3341463414634,Europe & Central Asia,High income
EST,1321977,43470,30.3861053600184,437027,19954.1301112109,78.5439024390244,Europe & Central Asia,High income
ETH,109224559,1000000,109.224559,4399674,570.305676779185,66.24,Sub-Saharan Africa ,Low income
FIN,5515525,303910,18.1568556480537,1279096,48749.0831062822,81.8341463414634,Europe & Central Asia,High income
FJI,883483,18270,48.3570333880679,NA,4795.19449948042,67.341,East Asia & Pacific,Upper middle income
FRA,66977107,547556.9921875,122.338395739199,10900952,43663.5849237297,82.5268292682927,Europe & Central Asia,High income
FRO,47814,1396.00006103516,34.2507148348869,NA,48530.2338492813,80.5878048780488,Europe & Central Asia,High income
FSM,112640,700,160.914285714286,NA,2728.62485534926,67.755,East Asia & Pacific,Lower middle income
GAB,2119275,257670,8.22476423332169,813489,9042.45986720758,66.187,Sub-Saharan Africa ,Upper middle income
GBR,66460344,241930,274.82739222089,9046485,43324.5929697405,81.3560975609756,Europe & Central Asia,High income
GEO,3726549,69490,65.2752020714511,1077333,4721.30288680934,73.6,Europe & Central Asia,Upper middle income
GHA,29767108,227540,130.821429199262,3064718,1807.06353938242,63.78,Sub-Saharan Africa ,Lower middle income
GIN,12414318,245720,50.5222122741332,1843121,896.828042811022,61.185,Sub-Saharan Africa ,Low income
GMB,2280102,10120,225.30652173913,437161,786.373247321282,61.735,Sub-Saharan Africa ,Low income
GNB,1874309,28120,66.6539473684211,558399,622.079825379886,58.003,Sub-Saharan Africa ,Low income
GNQ,1308974,28050,46.6657397504456,375896,10254.993251219,58.402,Sub-Saharan Africa ,Upper middle income
GRC,10731726,128900,83.2247323506594,3155600,23558.0839659892,81.2878048780488,Europe & Central Asia,High income
GRD,111454,340,327.805882352941,NA,9096.32995901451,72.384,Latin America & Caribbean ,Upper middle income
GRL,56025,410450,0.136496528200755,NA,49310.0067114908,70.8487804878049,Europe & Central Asia,High income
GTM,17247807,107160,160.953779395297,2851104,3159.96747721481,74.063,Latin America & Caribbean ,Upper middle income
GUM,165768,540,306.977777777778,NA,31477.266910582,79.859,East Asia & Pacific,High income
GUY,779004,196850,3.95734823469647,NA,3992.22625949241,69.774,Latin America & Caribbean ,Upper middle income
HKG,7451000,1050,7096.19047619048,7428887,38781.7854279926,84.9341463414634,East Asia & Pacific,High income
HND,9587522,111890,85.6870319063366,1363041,2219.31966487966,75.088,Latin America & Caribbean ,Lower middle income
HRV,4087843,55960,73.0771979985704,685587,15889.6039129594,78.0707317073171,Europe & Central Asia,High income
HTI,11123176,27560,403.59854862119,2636763,730.296713024986,63.66,Latin America & Caribbean ,Low income
HUN,9775564,90530,107.906605545123,1759497,16647.7472023211,75.8170731707317,Europe & Central Asia,High income
IDN,267663435,1811570,147.75219008926,10516927,4284.65253543916,71.509,East Asia & Pacific,Lower middle income
